[05/16/22 22:48:11.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:11.005] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:11.005] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:13.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:16.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:17.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:19.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:10.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:49:11.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
